,Brand,Model,Year_of_Manufacture,Fuel_Type,KMs_Driven,Location,Car_Age_Category,Price(in_Lakhs)
413,Datsun,redi-GO T (O),2016,Petrol,37825,Bettahalsoor,Old,3.2
414,Renault,Captur Platine Diesel Dual Tone,2017,Diesel,92863,Bettahalsoor,Moderate,7.49
415,Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT,2016,Petrol,42172,Bettahalsoor,Old,5.35
416,Maruti Suzuki,Vitara Brezza ZDi AGS,2018,Diesel,93378,Bettahalsoor,Moderate,10.25
417,Honda,City S Diesel,2014,Diesel,71794,Bettahalsoor,Old,6.5
418,Honda,Brio S MT,2015,Petrol,53526,Bettahalsoor,Old,4.49
419,Hyundai,Grand i10 Nios Asta 1.2 Kappa VTVT,2021,Petrol,28950,Bettahalsoor,Moderate,7.4
420,Toyota,Innova Crysta 2.4 G 7 STR,2017,Diesel,88117,Kengeri Satellite Town,Moderate,17.75
421,Mercedes-Benz,E-Class E 220d Exclusive,2019,Diesel,42000,Hebbal,Moderate,45.75
422,Toyota,Glanza V AMT,2023,Petrol,27770,Kengeri Satellite Town,New,9.6
423,Toyota,Urban Cruiser Hyryder V AT NeoDrive,2022,Mild Hybrid(Electric + Petrol),9761,Kengeri Satellite Town,New,17.35
424,Toyota,Urban Cruiser Hyryder V AWD NeoDrive,2022,Mild Hybrid(Electric + Petrol),19214,Kengeri Satellite Town,New,16.35
425,Toyota,Innova Crysta 2.4 VX 8 STR,2017,Diesel,127471,Kengeri Satellite Town,Moderate,19.0
426,Maruti Suzuki,Baleno Delta 1.2,2021,Petrol,33000,Hebbal,Moderate,7.25
427,BMW,3 Series 320d Touring,2013,Diesel,59827,Bettahalsoor,Old,11.49
428,Honda,BR-V V CVT Petrol,2016,Petrol,90764,Bettahalsoor,Old,7.79
429,Ford,EcoSport Titanium 1.5L Ti-VCT AT,2015,Petrol,47496,Bettahalsoor,Old,6.25
430,Skoda,Rapid TSI Active 1.0 TSI MT,2021,Petrol,20000,Hebbal,Moderate,9.5
431,Toyota,Urban Cruiser Hyryder V Hybrid,2022,Hybrid,15103,Kengeri Satellite Town,New,19.25
432,Kia,Carnival Limousine Plus 7 STR,2023,Diesel,18000,Hebbal,New,37.95
433,MINI,Cooper Countryman Cooper S,2013,Petrol,69000,BTM Layout,Old,16.55
434,Hyundai,Creta SX Plus 1.6  Petrol,2015,Petrol,66000,Hebbal,Old,8.25
435,Volkswagen,Polo Comfortline 1.2L (D),2014,Diesel,88000,Hebbal,Old,5.35
436,Tata,Safari XZA Plus,2021,Diesel,14768,Bettahalsoor,Moderate,19.0
437,Audi,Q3 35 TDI quattro Premium Plus,2018,Diesel,26000,Hebbal,Moderate,28.45
438,Audi,Q7 3.0 TDI quattro Premium Plus,2014,Diesel,127000,Hebbal,Old,19.5
439,BMW,5 Series 520d Luxury Line,2017,Diesel,39000,Hebbal,Moderate,39.0
440,Kia,Seltos HTX 1.5,2020,Petrol,44010,Bettahalsoor,Moderate,12.72
